Año_x,Trimestre_x,Provincia_x,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Item,Año_y,Trimestre_y,Provincia_y,Accesos por cada 100 hogares
2022,1,Buenos Aires,392.045,2.728.865,1.242.121,125.521,66.872,4.555.424,2022Buenos Aires,2022.0,1.0,Buenos Aires,"76,08"
2022,1,Capital Federal,102.290,1.217.225,62.308,5.784,29.934,1.417.541,2022Capital Federal,2022.0,1.0,Capital Federal,"111,8"
2022,1,Catamarca,14.181,15.517,29.118,1.328,2.234,62.378,2022Catamarca,2022.0,1.0,Catamarca,"58,21"
2022,1,Chaco,32.391,64.546,36.662,8.164,2.356,144.119,2022Chaco,2022.0,1.0,Chaco,"44,06"
2022,1,Chubut,44.133,66.667,9.184,30.592,21.052,171.628,2022Chubut,2022.0,1.0,Chubut,"88,05"
2022,1,Córdoba,195.610,501.799,235.838,60.843,9.713,1.003.803,2022Córdoba,2022.0,1.0,Córdoba,"85,76"
2022,1,Corrientes,40.462,79.093,10.875,6.774,5.374,142.578,2022Corrientes,2022.0,1.0,Corrientes,"47,64"
2022,1,Entre Ríos,67.159,138.986,23.091,26.098,12.592,267.926,2022Entre Ríos,2022.0,1.0,Entre Ríos,"63,7"
2022,1,Formosa,16.397,15.927,5.146,16.876,202.0,54.548,2022Formosa,2022.0,1.0,Formosa,"34,96"
2022,1,Jujuy,21.307,60.616,25.949,4.662,3.975,116.509,2022Jujuy,2022.0,1.0,Jujuy,"58,06"
2022,1,La Pampa,8.003,58.978,21.739,19.903,1.109,109.732,2022La Pampa,2022.0,1.0,La Pampa,"91,66"
2022,1,La Rioja,9.103,59.228,9.546,6.395,31.0,84.303,2022La Rioja,2022.0,1.0,La Rioja,"78,77"
2022,1,Mendoza,49.464,74.145,123.228,26.969,1.379,275.185,2022Mendoza,2022.0,1.0,Mendoza,"48,74"
2022,1,Misiones,39.147,91.752,25.178,7.807,7.624,171.508,2022Misiones,2022.0,1.0,Misiones,"49,04"
2022,1,Neuquén,28.443,73.200,24.193,23.098,745.0,149.679,2022Neuquén,2022.0,1.0,Neuquén,"74,17"
2022,1,Río Negro,38.662,45.366,38.037,16.815,18.494,157.374,2022Río Negro,2022.0,1.0,Río Negro,"67,04"
2022,1,Salta,44.714,98.667,40.994,5.950,7.19,197.515,2022Salta,2022.0,1.0,Salta,"56,11"
